Theta,Radius,Area
0,9.27115e-14,0
0.0317333,0.709069,1.42324
0.0634665,1.40856,5.6288
0.0951998,2.08925,12.4278
0.126933,2.74274,21.5174
0.158666,3.36181,32.4997
0.1904,3.94067,44.9073
0.222133,4.47508,58.2361
0.253866,4.96243,71.9796
0.285599,5.40164,85.6622
0.317333,5.79297,98.8668
0.349066,6.13784,111.252
0.380799,6.43849,122.562
0.412532,6.6978,132.624
0.444266,6.91903,141.342
0.475999,7.1056,148.689
0.507732,7.26102,154.701
0.539465,7.38873,159.464
0.571199,7.49208,163.106
0.602932,7.5743,165.792
0.634665,7.63848,167.708
0.666398,7.68762,169.05
0.698132,7.72465,170.006
0.729865,7.75243,170.748
0.761598,7.77377,171.417
0.793331,7.7913,172.117
0.825065,7.80744,172.913
0.856798,7.82413,173.831
0.888531,7.84271,174.855
0.920265,7.86371,175.938
0.951998,7.88682,177.004
0.983731,7.91086,177.967
1.01546,7.93398,178.743
1.0472,7.95385,179.266
1.07893,7.96809,179.507
1.11066,7.97457,179.485
1.1424,7.97184,179.272
1.17413,7.95949,178.977
1.20586,7.93834,178.733
1.2376,7.91065,178.669
1.26933,7.88007,178.9
1.30106,7.85148,179.521
1.3328,7.83074,180.616
1.36453,7.82415,182.271
1.39626,7.83802,184.581
1.428,7.87801,187.67
1.45973,7.94868,191.697
1.49146,8.05292,196.855
1.5232,8.19177,203.336
1.55493,8.36417,211.284
1.58666,8.5671,220.761
1.6184,8.79566,231.731
1.65013,9.04333,244.056
1.68186,9.3023,257.47
1.7136,9.56388,271.566
1.74533,9.81906,285.813
1.77706,10.0591,299.593
1.8088,10.2764,312.276
1.84053,10.4648,323.295
1.87226,10.6201,332.218
1.904,10.7404,338.79
1.93573,10.8259,342.95
1.96746,10.8787,344.811
1.9992,10.9021,344.624
2.03093,10.9007,342.72
2.06266,10.8791,339.461
2.0944,10.8417,335.191
2.12613,10.7923,330.207
2.15786,10.7334,324.736
2.18959,10.6665,318.934
2.22133,10.5917,312.88
2.25306,10.5077,306.575
2.28479,10.4122,299.953
2.31653,10.3024,292.892
2.34826,10.175,285.236
2.37999,10.0268,276.828
2.41173,9.85527,267.532
2.44346,9.65864,257.268
2.47519,9.43621,246.023
2.50693,9.18834,233.853
2.53866,8.91631,220.873
2.57039,8.62206,207.234
2.60213,8.30785,193.103
2.63386,7.97588,178.643
2.66559,7.6279,163.999
2.69733,7.265,149.291
2.72906,6.88734,134.614
2.76079,6.49412,120.039
2.79253,6.0837,105.627
2.82426,5.65371,91.4374
2.85599,5.20148,77.5518
2.88773,4.72437,64.0877
2.91946,4.22023,51.2132
2.95119,3.68778,39.1514
2.98293,3.12701,28.1756
3.01466,2.53934,18.5935
3.04639,1.92774,10.7212
3.07813,1.29667,4.85254
3.10986,0.651871,1.22672
3.14159,7.19737e-14,4.54747e-13
