Theta,Radius,Area
0,1.97208e-14,0
0.0317333,0.267622,0.212979
0.0634665,0.533706,0.847497
0.0951998,0.796803,1.89149
0.126933,1.05575,3.32833
0.158666,1.30975,5.14049
0.1904,1.55847,7.31219
0.222133,1.80197,9.83019
0.253866,2.04069,12.6827
0.285599,2.27531,15.8578
0.317333,2.50666,19.3426
0.349066,2.73549,23.1232
0.380799,2.96234,27.1851
0.412532,3.18738,31.5116
0.444266,3.41034,36.0819
0.475999,3.63042,40.869
0.507732,3.84634,45.8401
0.539465,4.05648,50.9577
0.571199,4.25903,56.1778
0.602932,4.4522,61.4444
0.634665,4.63434,66.6851
0.666398,4.80417,71.8148
0.698132,4.96087,76.748
0.729865,5.10416,81.4138
0.761598,5.23433,85.7673
0.793331,5.35222,89.7943
0.825065,5.45907,93.508
0.856798,5.55634,96.94
0.888531,5.64556,100.127
0.920265,5.7281,103.1
0.951998,5.80502,105.877
0.983731,5.877,108.459
1.01546,5.94427,110.838
1.0472,6.00668,113.002
1.07893,6.0637,114.935
1.11066,6.11457,116.621
1.1424,6.15834,118.044
1.17413,6.19403,119.176
1.20586,6.22076,119.981
1.2376,6.23789,120.415
1.26933,6.24523,120.439
1.30106,6.24317,120.042
1.3328,6.23275,119.252
1.36453,6.21564,118.142
1.39626,6.19396,116.817
1.428,6.17007,115.407
1.45973,6.14627,114.034
1.49146,6.12446,112.802
1.5232,6.10597,111.779
1.55493,6.09136,110.986
1.58666,6.08052,110.406
1.6184,6.07264,110
1.65013,6.06647,109.723
1.68186,6.06039,109.53
1.7136,6.0526,109.373
1.74533,6.04122,109.192
1.77706,6.02436,108.907
1.8088,6.0003,108.423
1.84053,5.96759,107.64
1.87226,5.92524,106.475
1.904,5.87279,104.878
1.93573,5.81045,102.844
1.96746,5.739,100.418
1.9992,5.65972,97.6799
2.03093,5.57422,94.7337
2.06266,5.48422,91.6829
2.0944,5.39133,88.6129
2.12613,5.29689,85.5775
2.15786,5.20178,82.5965
2.18959,5.10637,79.6623
2.22133,5.01049,76.7521
2.25306,4.91346,73.8429
2.28479,4.81422,70.9212
2.31653,4.71147,67.9847
2.34826,4.60381,65.0314
2.37999,4.48994,62.0451
2.41173,4.3688,58.9931
2.44346,4.23969,55.8385
2.47519,4.10237,52.5578
2.50693,3.95707,49.1494
2.53866,3.80443,45.6337
2.57039,3.64545,42.0481
2.60213,3.48135,38.4396
2.63386,3.31342,34.8578
2.66559,3.14284,31.3486
2.69733,2.97053,27.9498
2.72906,2.79695,24.689
2.76079,2.62197,21.5831
2.79253,2.44484,18.6402
2.82426,2.2642,15.8627
2.85599,2.07829,13.2509
2.88773,1.88514,10.8071
2.91946,1.68297,8.53957
2.95119,1.47046,6.46647
2.98293,1.24702,4.6164
3.01466,1.01289,3.02613
3.04639,0.769117,1.73563
3.07813,0.517459,0.782523
3.10986,0.260207,0.197355
3.14159,6.31213e-14,2.50919e-13
