Theta,Radius,Area
0,1.23754e-15,0
0.0317333,0.019024,0.000987994
0.0634665,0.037915,0.00393943
0.0951998,0.056529,0.00881311
0.126933,0.0747243,0.0155291
0.158666,0.0923629,0.0239544
0.1904,0.109314,0.0338891
0.222133,0.125456,0.0450577
0.253866,0.140682,0.0571123
0.285599,0.154903,0.0696502
0.317333,0.168051,0.0822459
0.349066,0.180082,0.0944931
0.380799,0.190977,0.106048
0.412532,0.200736,0.116663
0.444266,0.209379,0.126204
0.475999,0.216933,0.134646
0.507732,0.223434,0.142045
0.539465,0.228921,0.148496
0.571199,0.233438,0.154086
0.602932,0.237033,0.158864
0.634665,0.239757,0.162834
0.666398,0.241669,0.165979
0.698132,0.242832,0.168293
0.729865,0.243318,0.169811
0.761598,0.243209,0.170617
0.793331,0.242597,0.170828
0.825065,0.241583,0.170558
0.856798,0.240277,0.169874
0.888531,0.238793,0.168799
0.920265,0.237239,0.167343
0.951998,0.235709,0.165552
0.983731,0.234273,0.163517
1.01546,0.232962,0.161358
1.0472,0.231769,0.159189
1.07893,0.230661,0.157093
1.11066,0.229593,0.155138
1.1424,0.228535,0.153349
1.17413,0.227476,0.151806
1.20586,0.226427,0.150721
1.2376,0.225407,0.150144
1.26933,0.224443,0.150096
1.30106,0.223575,0.150579
1.3328,0.222859,0.151522
1.36453,0.222383,0.152844
1.39626,0.222269,0.154503
1.428,0.222665,0.156514
1.45973,0.223727,0.158945
1.49146,0.22559,0.161906
1.5232,0.228338,0.165511
1.55493,0.231982,0.16982
1.58666,0.236457,0.174789
1.6184,0.241643,0.180292
1.65013,0.247401,0.186194
1.68186,0.253616,0.192485
1.7136,0.260224,0.199394
1.74533,0.267206,0.207346
1.77706,0.27455,0.216753
1.8088,0.282196,0.227781
1.84053,0.289982,0.24031
1.87226,0.297649,0.253975
1.904,0.304888,0.268146
1.93573,0.311392,0.28194
1.96746,0.316897,0.294388
1.9992,0.321209,0.304649
2.03093,0.324211,0.312176
2.06266,0.325866,0.316798
2.0944,0.326213,0.318752
2.12613,0.325348,0.318638
2.15786,0.323401,0.317147
2.18959,0.320511,0.314637
2.22133,0.316804,0.311043
2.25306,0.312373,0.306082
2.28479,0.307271,0.299423
2.31653,0.30151,0.290774
2.34826,0.295079,0.279964
2.37999,0.287959,0.267
2.41173,0.28015,0.252108
2.44346,0.271695,0.235744
2.47519,0.262684,0.21856
2.50693,0.253259,0.201334
2.53866,0.243601,0.184855
2.57039,0.233901,0.169778
2.60213,0.22433,0.156475
2.63386,0.215009,0.144931
2.66559,0.205981,0.134787
2.69733,0.19719,0.125502
2.72906,0.188484,0.116485
2.76079,0.179632,0.10721
2.79253,0.170353,0.0972937
2.82426,0.160358,0.0865523
2.85599,0.149389,0.0750196
2.88773,0.137246,0.0629315
2.91946,0.123813,0.0506868
2.95119,0.109059,0.03879
2.98293,0.0930422,0.0277818
3.01466,0.0758898,0.0181681
3.04639,0.0577841,0.0103598
3.07813,0.0389423,0.00463918
3.10986,0.0195999,0.00116381
3.14159,1.89153e-15,1.31839e-16
