Theta,Radius,Area
0,2.54608e-13,0
0.0317333,0.270317,0.141536
0.0634665,0.544633,0.578966
0.0951998,0.826316,1.34807
0.126933,1.11754,2.50046
0.158666,1.41893,4.0943
0.1904,1.72939,6.18498
0.222133,2.04613,8.81642
0.253866,2.36494,12.0122
0.285599,2.68053,15.7656
0.317333,2.98704,20.0272
0.349066,3.27857,24.6951
0.380799,3.54971,29.6137
0.412532,3.79605,34.5884
0.444266,4.01458,39.4149
0.475999,4.20404,43.9139
0.507732,4.36501,47.9585
0.539465,4.49977,51.4861
0.571199,4.612,54.5002
0.602932,4.7063,57.0712
0.634665,4.78772,59.3355
0.666398,4.86118,61.4822
0.698132,4.93097,63.7095
0.729865,5.00021,66.1549
0.761598,5.07059,68.8445
0.793331,5.14235,71.702
0.825065,5.21464,74.6038
0.856798,5.28591,77.4353
0.888531,5.35431,80.1198
0.920265,5.4179,82.6189
0.951998,5.47476,84.9167
0.983731,5.52301,87.0032
1.01546,5.56074,88.8583
1.0472,5.58595,90.4371
1.07893,5.59656,91.6571
1.11066,5.59048,92.3972
1.1424,5.56568,92.5098
1.17413,5.52037,91.8433
1.20586,5.45321,90.2688
1.2376,5.36351,87.7057
1.26933,5.25141,84.1466
1.30106,5.11807,79.6754
1.3328,4.96579,74.4742
1.36453,4.79806,68.8136
1.39626,4.61944,63.0167
1.428,4.43517,57.4009
1.45973,4.25069,52.2275
1.49146,4.0711,47.6438
1.5232,3.90086,43.7515
1.55493,3.74375,40.5742
1.58666,3.60331,38.0899
1.6184,3.48311,36.2461
1.65013,3.38682,35.0134
1.68186,3.31785,34.3778
1.7136,3.27856,34.3014
1.74533,3.26963,34.7071
1.77706,3.28951,35.4989
1.8088,3.33441,36.6045
1.84053,3.3985,38.0099
1.87226,3.47459,39.7031
1.904,3.55511,41.5311
1.93573,3.63325,43.2439
1.96746,3.70399,44.6168
1.9992,3.76458,45.5099
2.03093,3.81462,45.8897
2.06266,3.85574,45.8243
2.0944,3.89089,45.4542
2.12613,3.92362,44.9496
2.15786,3.95726,44.4658
2.18959,3.99428,44.1131
2.22133,4.03586,43.9461
2.25306,4.0817,43.9718
2.28479,4.13006,44.1696
2.31653,4.17801,44.5106
2.34826,4.22164,44.9617
2.37999,4.25651,45.4653
2.41173,4.27796,45.9154
2.44346,4.28159,46.1638
2.47519,4.26369,46.0569
2.50693,4.22161,45.472
2.53866,4.15412,44.3381
2.57039,4.06143,42.6368
2.60213,3.94518,40.3915
2.63386,3.80822,37.6584
2.66559,3.65426,34.5228
2.69733,3.48756,31.1005
2.72906,3.31248,27.5365
2.76079,3.13303,23.9978
2.79253,2.95213,20.6516
2.82426,2.77074,17.6252
2.85599,2.58686,14.9608
2.88773,2.39531,12.6047
2.91946,2.18876,10.4472
2.95119,1.95966,8.38468
2.98293,1.7021,6.36988
3.01466,1.41302,4.43327
3.04639,1.09283,2.67863
3.07813,0.745496,1.257
3.10986,0.378088,0.325074
3.14159,1.6971e-13,0
