Theta,Radius,Area
0,2.73351e-13,0
0.0317333,0.487919,0.713521
0.0634665,0.965368,2.78851
0.0951998,1.42244,6.04195
0.126933,1.85093,10.2106
0.158666,2.24494,15.0012
0.1904,2.6012,20.1416
0.222133,2.91904,25.4182
0.253866,3.20004,30.6938
0.285599,3.4474,35.8976
0.317333,3.66519,40.9913
0.349066,3.85761,45.9258
0.380799,4.02833,50.6161
0.412532,4.18007,54.9485
0.444266,4.31426,58.8041
0.475999,4.43083,62.0829
0.507732,4.52823,64.7145
0.539465,4.60365,66.6473
0.571199,4.65361,67.8175
0.602932,4.67481,68.1363
0.634665,4.66516,67.5208
0.666398,4.62472,65.95
0.698132,4.55642,63.508
0.729865,4.46628,60.3983
0.761598,4.36309,56.9289
0.793331,4.25741,53.4717
0.825065,4.16011,50.3952
0.856798,4.08059,47.9833
0.888531,4.02532,46.3746
0.920265,3.99702,45.5625
0.951998,3.99468,45.4497
0.983731,4.01417,45.902
1.01546,4.04914,46.7641
1.0472,4.09184,47.8491
1.07893,4.13376,48.9499
1.11066,4.16638,49.8726
1.1424,4.18189,50.4679
1.17413,4.17431,50.662
1.20586,4.14051,50.4572
1.2376,4.08115,49.8964
1.26933,4.00112,49.0913
1.30106,3.90895,48.2384
1.3328,3.81509,47.5984
1.36453,3.72919,47.2526
1.39626,3.65802,47.1013
1.428,3.60508,47.031
1.45973,3.57175,46.9663
1.49146,3.55895,46.8941
1.5232,3.56837,46.8706
1.55493,3.60294,47.0397
1.58666,3.66632,47.6414
1.6184,3.76139,48.9217
1.65013,3.88811,51.0771
1.68186,4.04222,54.2041
1.7136,4.21563,58.0482
1.74533,4.39768,62.54
1.77706,4.57645,67.6426
1.8088,4.74009,72.7067
1.84053,4.87855,77.1362
1.87226,4.98489,80.5289
1.904,5.056,82.6678
1.93573,5.09265,83.4914
1.96746,5.09901,83.0761
1.9992,5.08174,81.6228
2.03093,5.04896,79.4365
2.06266,5.00908,76.8923
2.0944,4.96971,74.386
2.12613,4.93671,72.2659
2.15786,4.91364,70.764
2.18959,4.90155,69.9575
2.22133,4.8993,69.7827
2.25306,4.90403,70.0902
2.28479,4.91173,70.7003
2.31653,4.91767,71.4295
2.34826,4.91668,72.0831
2.37999,4.90347,72.4321
2.41173,4.87308,72.2262
2.44346,4.82154,71.2518
2.47519,4.74655,69.3904
2.50693,4.64785,66.6444
2.53866,4.52726,63.1303
2.57039,4.38816,59.0476
2.60213,4.23485,54.6332
2.63386,4.07172,50.1144
2.66559,3.90252,45.6715
2.69733,3.72979,41.4175
2.72906,3.55455,37.3936
2.76079,3.37619,33.5795
2.79253,3.19267,29.9136
2.82426,3.00074,26.3201
2.85599,2.79638,22.7366
2.88773,2.57527,19.1374
2.91946,2.33341,15.5473
2.95119,2.06762,12.044
2.98293,1.77615,8.74814
3.01466,1.459,5.80344
3.04639,1.11815,3.35289
3.07813,0.757478,1.51739
3.10986,0.382518,0.383283
3.14159,1.95367e-13,0
